"name","github_url","run_date","validated_metadata","validated_data","published","ok_on_datahub","validated_metadata_message","validated_data_message"
"glacier-mass-balance","https://github.com/datasets/glacier-mass-balance","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"global-temp","https://github.com/datasets/global-temp","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"global-temp-anomalies","https://github.com/datasets/global-temp-anomalies","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"gold-prices","https://github.com/datasets/gold-prices","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          String does not match pattern: ^([-a-z0-9._/])+$\n          at ""/licenses/0/name"" in descriptor and\n          at ""/properties/licenses/items/properties/name/pattern"" in profile",""
"house-prices-uk","https://github.com/datasets/house-prices-uk","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"house-prices-us","https://github.com/datasets/house-prices-us","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          String does not match pattern: ^([-a-z0-9._/])+$\n          at ""/licenses/0/name"" in descriptor and\n          at ""/properties/licenses/items/properties/name/pattern"" in profile",""
"imf-weo","https://github.com/datasets/imf-weo","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"IMO-IMDG-Codes","https://github.com/datasets/IMO-IMDG-Codes","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"inflation","https://github.com/datasets/inflation","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"investor-flow-of-funds-us","https://github.com/datasets/investor-flow-of-funds-us","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
