"name","github_url","run_date","validated_metadata","validated_data","published","ok_on_datahub","validated_metadata_message","validated_data_message"
"transform-gdp-uk","https://github.com/datapackage-examples/transform-gdp-uk.git","2017-08-08T12:43:47.933Z","true","true","https://testing.datahub.io/examples/transform-example-gdp-uk","ok","valid","valid"
"transform-co2-fossil-global","https://github.com/datapackage-examples/transform-co2-fossil-global.git","2017-08-08T12:43:47.933Z","true","true","https://testing.datahub.io/examples/transform-examples-on-co2-fossil-global","ok","valid","valid"
"transform-currency-codes","https://github.com/datapackage-examples/transform-currency-codes.git","2017-08-08T12:43:47.933Z","true","true","https://testing.datahub.io/examples/example-sample-transform-on-currency-codes","ok","valid","valid"
"vega-lifelines","https://github.com/datapackage-examples/vega-lifelines.git","2017-08-08T12:43:47.933Z","true","true","http://api-testing.datahub.io/pipelines/#anchor-ALL-examples-vega-views-tutorial-grouping","ok","valid","valid"
"vega-barley","https://github.com/datapackage-examples/vega-barley.git","2017-08-08T12:43:47.933Z","true","true","https://testing.datahub.io/examples/vega-views-tutorial-grouping","ok","valid","valid"
"vega-airports","https://github.com/datapackage-examples/vega-airports.git","2017-08-08T12:43:47.933Z","true","true","https://testing.datahub.io/examples/vega-views-tutorial-topojson","-","valid","valid"
